Ref,Val,Package,PosX,PosY,Rot,Side
"AE401","Antenna_Shield","U.FL_Hirose_U.FL-R-SMT-1_Vertical",-62.013400,-33.168300,0.000000,bottom
"C201","10uF","C_0805_2012Metric",-44.631800,-54.934900,-90.000000,bottom
"C202","1uF","C_0805_2012Metric",-46.979600,-59.975500,-90.000000,bottom
"C204","0.1uF","C_0805_2012Metric",-52.364400,-51.227700,-90.000000,bottom
"C207","0.1uF","C_0805_2012Metric",-37.650000,-33.700000,90.000000,bottom
"C303","0.1uF","C_0805_2012Metric",-35.350000,-40.000000,90.000000,bottom
"C601","0.1uF","C_0805_2012Metric",-26.456400,-59.939900,90.000000,bottom
"J101","Conn_02x04_Male","PinHeader_2x04_P2.54mm_Vertical",-23.256000,-18.791900,0.000000,bottom
"J102","Conn_02x02_Male","PinHeader_2x02_P2.54mm_Vertical",-47.531000,-13.722100,0.000000,bottom
"J103","Conn_02x02_Male","PinHeader_2x02_P2.54mm_Vertical",-60.695600,-48.281300,0.000000,bottom
"J104","Conn_02x02_Male","PinHeader_2x02_P2.54mm_Vertical",-12.669200,-45.736300,180.000000,bottom
"J601","Micro_SD_Card 823-046","DS1139-05",-35.397200,-56.607800,180.000000,bottom
"Q202","BC847","SOT-23",-22.800000,-55.250000,0.000000,bottom
"Q204","BC847","SOT-23",-34.650000,-28.950000,0.000000,bottom
"R201","1k","R_0805_2012Metric",-44.642800,-59.990700,90.000000,bottom
"R203","100k","R_0805_2012Metric",-20.208000,-50.550000,-90.000000,bottom
"R205","10k","R_0805_2012Metric",-42.500000,-12.772100,-90.000000,bottom
"R206","10k","R_0805_2012Metric",-22.798800,-50.550000,-90.000000,bottom
"R210","10k","R_0805_2012Metric",-24.119600,-59.939900,90.000000,bottom
"R214","100k","R_0805_2012Metric",-17.550000,-50.550000,-90.000000,bottom
"R215","750R","R_0805_2012Metric",-49.316400,-59.952000,-90.000000,bottom
"R216","750R","R_0805_2012Metric",-52.350000,-59.952000,-90.000000,bottom
"R218","5k1","R_0805_2012Metric",-44.642800,-63.826100,-90.000000,bottom
"R220","5k","R_0805_2012Metric",-34.600000,-31.900000,180.000000,bottom
"R222","5k","R_0805_2012Metric",-44.642800,-51.202300,-90.000000,bottom
"R224","10k","R_0805_2012Metric",-37.675000,-40.025000,-90.000000,bottom
"R226","10k","R_0805_2012Metric",-37.650000,-43.825000,-90.000000,bottom
"R301","4k7","R_0805_2012Metric",-35.350000,-43.825000,-90.000000,bottom
