"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R204,R203,R206,R205,R212,R211";"R_0805_2012Metric";6;"100k";;;
2;"R202,R501,R219,R218,R201,R213,R502,R207,R210";"R_0805_2012Metric";9;"10k";;;
3;"J201";"JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical";1;"Conn_01x03";;;
4;"D601";"LED_0805_2012Metric";1;"APT2012LSECK/J4-PRV";;;
5;"J104,J103,J102";"PinSocket_2x02_P2.54mm_Vertical";3;"Conn_02x02_Female";;;
6;"D602";"D_SOD-323";1;"ESD7351HT1G";;;
7;"Q203,Q207,Q901,Q208,Q601";"SOT-23";5;"BC847";;;
8;"J101";"PinSocket_2x04_P2.54mm_Vertical";1;"Conn_02x04_Female";;;
9;"Q205,Q202,Q204,Q201,Q206";"SOT-23";5;"SI2305CDS-T1-BE3";;;
10;"R217,R901,R216,R209,R601";"R_0805_2012Metric";5;"5k";;;
11;"U401";"SOIC-8_3.9x4.9mm_P1.27mm";1;"INA219AxD";;;
12;"R603";"R_0805_2012Metric";1;"10R";;;
13;"U603";"ublox_NEO";1;"NEO-M9N";;;
14;"BT601";"2989";1;"Backup battery";;;
15;"J901";"Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal";1;"Conn_01x02";;;
16;"C401,C201,C802";"C_0805_2012Metric";3;"10uF";;;
17;"C803";"C_0805_2012Metric";1;"10nF";;;
18;"L601";"L_0805_2012Metric";1;"27nH";;;
19;"U501";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
20;"R602";"R_0805_2012Metric";1;"750R";;;
21;"R208";"R_0805_2012Metric";1;"12k";;;
22;"C501";"C_0805_2012Metric";1;"120nF";;;
23;"C502";"C_0805_2012Metric";1;"6.8nF";;;
24;"U201";"SOP65P640X110-16N";1;"PCA8574PW";;;
25;"R401,R301";"R_1206_Current";2;"PE1206FRE470R04L";;;
26;"C503,C504,C801,C602,C301,C701";"C_0805_2012Metric";6;"0.1uF";;;
27;"AE601";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Antenna_Shield";;;
28;"U901";"SOT65P210X110-6N";1;"AD5246BKSZ100";;;
29;"R214";"R_0805_2012Metric";1;"0R";;;
30;"IC301";"SOIC127P600X175-8N";1;"MAX1626ESA+T";;;
31;"U802";"SOT-23-5";1;"MCP6486UT-E/OT";;;
32;"R802,R801";"R_0805_2012Metric";2;"100R";;;
33;"U602,U601";"SOT-23-6";2;"TS5A3159DBV";;;
34;"SW202";"PCM12SMTR";1;"PCM12SMTR";;;
35;"J903,J904";"Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical";2;"Conn_01x02";;;
36;"BT201,BT202";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";2;"Battery_Cell";;;
37;"C303,C302";"CP_EIA-3528-21_Kemet-B";2;"TPSB686K010R0600";;;
38;"JP601,JP602";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm";2;"SolderJumper_3_Bridged12";;;
39;"D301";"D_SMA";1;"B330A";;;
40;"U801";"ME2-O2";1;"ME2-02";;;
41;"R215";"R_1206_3216Metric";1;"0R";;;
42;"C601";"C_0805_2012Metric";1;"1uF";;;
43;"SW201";"SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm";1;"DS04-254-1-04BK-SMT";;;
44;"R803";"R_0805_2012Metric";1;"20k";;;
45;"U1001";"TBS UNIFY PRO32 5G8 nano";1;"TBS_UNIFY_PRO32_5G8_nano";;;
46;"U701";"XDCR_SCD41-D-R2";1;"SCD41";;;
47;"C305";"CP_EIA-7343-31_Kemet-D";1;"293D227X9010D2TE3";;;
48;"Q301";"SOT-23";1;"SI2305CDS-T1-BE3";;;
49;"C304";"C_0805_2012Metric";1;"0.47uF";;;
50;"J902";"Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical";1;"Conn_01x03";;;
51;"L301";"CDRH125101MC";1;"CDRH125NP-220MC";;;
