Designator,Footprint,Quantity,Value,LCSC Part #
AE601,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Antenna_Shield,
"BT201, BT202",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Battery_Cell,
BT601,2989,1,Backup battery,
"C201, C401, C802",C_0805_2012Metric,3,10uF,
"C301, C503, C504, C602, C701, C801",C_0805_2012Metric,6,0.1uF,
"C302, C303",CP_EIA-3528-21_Kemet-B,2,TPSB686K010R0600,
C304,C_0805_2012Metric,1,0.47uF,
C305,CP_EIA-7343-31_Kemet-D,1,293D227X9010D2TE3,
C501,C_0805_2012Metric,1,120nF,
C502,C_0805_2012Metric,1,6.8nF,
C601,C_0805_2012Metric,1,1uF,
C803,C_0805_2012Metric,1,10nF,
D301,D_SMA,1,B330A,
D601,LED_0805_2012Metric,1,APT2012LSECK/J4-PRV,
D602,D_SOD-323,1,ESD7351HT1G,
IC301,SOIC127P600X175-8N,1,MAX1626ESA+T,
J101,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Female,
"J102, J103, J104",PinSocket_2x02_P2.54mm_Vertical,3,Conn_02x02_Female,
J201,JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,1,Conn_01x03,
J901,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02,
J902,Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical,1,Conn_01x03,
"J903, J904",Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,2,Conn_01x02,
"JP601, JP602",SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,2,SolderJumper_3_Bridged12,
L301,CDRH125101MC,1,CDRH125NP-220MC,
L601,L_0805_2012Metric,1,27nH,
"Q201, Q202, Q204, Q205, Q206, Q301",SOT-23,6,SI2305CDS-T1-BE3,
"Q203, Q207, Q208, Q601, Q901",SOT-23,5,BC847,
"R201, R202, R207, R210, R213, R218, R219, R501, R502",R_0805_2012Metric,9,10k,
"R203, R204, R205, R206, R211, R212",R_0805_2012Metric,6,100k,
R208,R_0805_2012Metric,1,12k,
"R209, R216, R217, R601, R901",R_0805_2012Metric,5,5k,
R214,R_0805_2012Metric,1,0R,
R215,R_1206_3216Metric,1,0R,
"R301, R401",R_1206_Current,2,PE1206FRE470R04L,
R602,R_0805_2012Metric,1,750R,
R603,R_0805_2012Metric,1,10R,
"R801, R802",R_0805_2012Metric,2,100R,
R803,R_0805_2012Metric,1,20k,
SW201,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,1,DS04-254-1-04BK-SMT,
SW202,PCM12SMTR,1,PCM12SMTR,
U1001,TBS UNIFY PRO32 5G8 nano,1,TBS_UNIFY_PRO32_5G8_nano,
U201,SOP65P640X110-16N,1,PCA8574PW,
U401,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U501,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
"U601, U602",SOT-23-6,2,TS5A3159DBV,
U603,ublox_NEO,1,NEO-M9N,
U701,XDCR_SCD41-D-R2,1,SCD41,
U801,ME2-O2,1,ME2-02,
U802,SOT-23-5,1,MCP6486UT-E/OT,
U901,SOT65P210X110-6N,1,AD5246BKSZ100,
