Designator,Footprint,Quantity,Value,LCSC Part #
AE1001,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Antenna_Shield,
BT1001,2989,1,Backup battery,
"BT301, BT302",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Battery_Cell,
"C1001, C703, C706",C_0805_2012Metric,3,1uF,
"C1002, C1101, C704, C705, C803, C804, C901",C_0805_2012Metric,7,0.1uF,
"C1102, C1204, C201, C401",C_0805_2012Metric,4,10uF,
C1103,C_0805_2012Metric,1,10nF,
"C1201, C1202, C301, C302, C701, C702, C707",C_0805_2012Metric,7,22uF,
C708,C_0805_2012Metric,1,4.7uF,
C801,C_0805_2012Metric,1,120nF,
C802,C_0805_2012Metric,1,6.8nF,
D1001,LED_0805_2012Metric,1,APT2012LSECK/J4-PRV,
D1002,D_SOD-323,1,ESD7351HT1G,
D701,D_SMA,1,B330A,
"D702, D703, D704, D705",LED_0805_2012Metric,4,APT2012LZGCK,
D706,LED_0805_2012Metric,1,APT2012LSECK/J3-PRV,
J101,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Female,
"J102, J103, J104",PinSocket_2x02_P2.54mm_Vertical,3,Conn_02x02_Female,
J501,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02,
J502,Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical,1,Conn_01x03,
"J503, J504",Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,2,Conn_01x02,
"JP1001, JP1002",SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,2,SolderJumper_3_Bridged12,
L1001,L_0805_2012Metric,1,27nH,
L701,L_Bourns_SRP7050AA,1,SRP7050AA-2R2M,
"Q1001, Q1202, Q1205, Q201, Q202, Q203, Q207, Q209, Q210, Q211, Q212, Q301, Q302, Q501",SOT-23,14,BC847,
"Q1201, Q1203, Q1204, Q1206, Q208",SOT-23,5,BC857,
"Q204, Q205, Q206",SOT-23,3,SI2305CDS-T1-BE3,
"R1001, R212, R216, R217, R218, R219, R501",R_0805_2012Metric,7,5k,
R1002,R_0805_2012Metric,1,750R,
R1003,R_0805_2012Metric,1,10R,
"R1101, R1102",R_0805_2012Metric,2,100R,
R1103,R_0805_2012Metric,1,20k,
"R1201, R1202, R1203, R1204, R1205, R1206, R1209, R201, R202, R204, R207, R208, R209",R_0805_2012Metric,13,100k,
"R1207, R203, R205, R206, R210, R214, R215, R220, R221, R222, R301, R304, R703, R716, R718, R801, R802",R_0805_2012Metric,17,10k,
R1208,R_0805_2012Metric,1,15k,
R211,R_0805_2012Metric,1,12k,
R213,R_1206_3216Metric,1,0R,
"R302, R303",R_0805_2012Metric,2,220k,
R401,R_1206_Current,1,PE1206FRE470R04L,
R701,R_0805_2012Metric,1,0R5,
R702,R_0805_2012Metric,1,3k16,
R704,R_0805_2012Metric,1,1k87,
R705,R_0805_2012Metric,1,1k3,
R706,R_0805_2012Metric,1,5k11,
"R707, R708, R709, R710",R_0805_2012Metric,4,910R,
R712,R_0805_2012Metric,1,143k,
R713,R_0805_2012Metric,1,82k,
R714,R_0805_2012Metric,1,820k,
R715,R_0805_2012Metric,1,75k,
R717,R_0805_2012Metric,1,27k4,
SW201,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,1,DS04-254-1-04BK-SMT,
SW202,PCM12SMTR,1,PCM12SMTR,
SW203,Tlačítko SMD LaskaKit,1,LaskaKit tlačítko,
"TH301, TH302",Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,2,NRBE104J3435B2J,
U1001,ublox_NEO,1,NEO-M9N,
"U1002, U1003, U301, U701, U703",SOT-23-6,5,TS5A3159DBV,
U1101,ME2-O2,1,ME2-02,
U1102,SOT-23-5,1,MCP6486UT-E/OT,
U201,SOP65P640X110-16N,1,PCA8574PW,
U401,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U501,SOT65P210X110-6N,1,AD5246BKSZ100,
U601,TBS UNIFY PRO32 5G8 nano,1,TBS_UNIFY_PRO32_5G8_nano,
U702,MP2639AGRZ,1,MP2639AGR-Z,
U801,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U901,XDCR_SCD41-D-R2,1,SCD41,
