"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U301";"TO-92_Inline";1;"DS18B20";;;
2;"Q201,Q203,Q501,Q207";"SOT-23";4;"SI2305CDS-T1-BE3";;;
3;"R213,R502";"R_1206_3216Metric";2;"0R";;;
4;"C302,C205,C504,C301,C601,C204,C207,C303";"C_0805_2012Metric";8;"0.1uF";;;
5;"U501";"SOIC127P600X175-8N";1;"MAX1626ESA+T";;;
6;"R207";"R_0805_2012Metric";1;"47k5";;;
7;"D501";"D_SMA";1;"B330A";;;
8;"J105,J106,J107";"009155004541006";3;"009155004541006";;;
9;"U201";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
10;"R212";"R_0805_2012Metric";1;"47k";;;
11;"C208,C202";"C_0805_2012Metric";2;"1uF";;;
12;"D204";"SOT-143";1;"SP0503BAHT";;;
13;"SW203,SW202";"Tlačítko SMD LaskaKit";2;"LaskaKit tlačítko";;;
14;"BT701";"2989";1;"Backup battery";;;
15;"R202";"R_0805_2012Metric";1;"22k1";;;
16;"R217,R219,R218";"R_0805_2012Metric";3;"5k1";;;
17;"C503";"C_0805_2012Metric";1;"0.47uF";;;
18;"C203";"CP_Elec_6.3x7.7";1;"680uF";;;
19;"R225,R220,R222";"R_0805_2012Metric";3;"5k";;;
20;"R211,R204,R223,R206,R226,R224,R205,R210";"R_0805_2012Metric";8;"10k";;;
21;"Q205,Q206,Q204,Q202";"SOT-23";4;"BC847";;;
22;"C502,C501";"CP_EIA-3528-21_Kemet-B";2;"TPSB686K010R0600";;;
23;"R209,R221,R203,R214";"R_0805_2012Metric";4;"100k";;;
24;"D202,D203";"LED_0805_2012Metric";2;"APT2012LSECK/J4-PRV";;;
25;"Y701";"ECX-31B";1;"ECS-.327-6-34B-C-TR";;;
26;"L501";"CDRH125101MC";1;"CDRH125NP-220MC";;;
27;"C505";"CP_EIA-7343-31_Kemet-D";1;"293D227X9010D2TE3";;;
28;"U202";"ESP32-MINI-1";1;"ESP32-MINI-1";;;
29;"D201";"D_SOD-123F";1;"SBR3U40S1F-7";;;
30;"J201";"USB4110GFA";1;"USB4110-GF-A";;;
31;"U701";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"PT7C4339";;;
32;"C206,C201";"C_0805_2012Metric";2;"10uF";;;
33;"U302";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
34;"R208";"R_0805_2012Metric";1;"27k";;;
35;"R501";"R_1206_Current";1;"PE1206FRE470R04L";;;
36;"J104,J103,J102";"PinHeader_2x02_P2.54mm_Vertical";3;"Conn_02x02_Male";;;
37;"R201";"R_0805_2012Metric";1;"1k";;;
38;"R301";"R_0805_2012Metric";1;"4k7";;;
39;"R216,R215";"R_0805_2012Metric";2;"750R";;;
40;"SW201";"SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm";1;"DS04-254-1-03BK-SMT";;;
41;"AE401";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Antenna_Shield";;;
42;"J101";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Male";;;
43;"U401";"HOPERF_RFM9XW_SMD";1;"RFM96W-433S2";;;
44;"J601";"DS1139-05";1;"Micro_SD_Card 823-046";;;
