"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R214,R203,R501,R204,R206,R1005";"R_0805_2012Metric";6;"5k";;;
2;"J102,J103,J104";"PinSocket_2x02_P2.54mm_Vertical";3;"Conn_02x02_Female";;;
3;"C1204,C702,C302,C1203,C707,C706,C301";"C_0805_2012Metric";7;"22uF";;;
4;"R1205,R213,R215,R212,R217,R219,R221,R1209,R1202,R1204,R1206,R1207,R207,R1208";"R_0805_2012Metric";14;"100k";;;
5;"R304,R222,R205,R711,R201,R701,R211,R202,R705,R220,R209,R801,R301,R802,R1201,R208";"R_0805_2012Metric";16;"10k";;;
6;"SW203";"Tlačítko SMD LaskaKit";1;"LaskaKit tlačítko";;;
7;"R714,R716,R712,R715";"R_0805_2012Metric";4;"330R";;;
8;"C1202,C1102,C401";"C_0805_2012Metric";3;"10uF";;;
9;"Q206,Q301,Q201,Q501,Q209,Q210,Q202,Q204,Q205,Q302,Q1203,Q1206,Q1001,Q203";"SOT-23";14;"BC847";;;
10;"R708";"R_0805_2012Metric";1;"5k11";;;
11;"R704";"R_0805_2012Metric";1;"3k16";;;
12;"D702,D705,D703,D704";"LED_0805_2012Metric";4;"APT2012LZGCK";;;
13;"C701,C704,C1002,C803,C804,C1101,C901";"C_0805_2012Metric";7;"0.1uF";;;
14;"U703,U301,U701";"SOT-23-6";3;"TS5A3159DBV";;;
15;"R1003,R713";"R_0805_2012Metric";2;"750R";;;
16;"SW201";"SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm";1;"DS04-254-1-04BK-SMT";;;
17;"Q1205,Q208,Q1201,Q1204,Q1202";"SOT-23";5;"BC857";;;
18;"J501";"Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal";1;"Conn_01x02";;;
19;"R1001";"R_0805_2012Metric";1;"12R";;;
20;"L701";"L_Bourns_SRP7050AA";1;"SRP7050AA-2R2M";;;
21;"U501";"SOT65P210X110-6N";1;"AD5246BKSZ100";;;
22;"Q212,Q211,Q207";"SOT-23";3;"SI2305CDS-T1-BE3";;;
23;"U1001";"ublox_NEO";1;"NEO-M9N";;;
24;"D706";"LED_0805_2012Metric";1;"APT2012LSECK/J3-PRV";;;
25;"J101";"PinSocket_2x04_P2.54mm_Vertical";1;"Conn_02x04_Female";;;
26;"BT1001";"2989";1;"Backup battery";;;
27;"U702";"MP2639AGRZ";1;"MP2639AGR-Z";;;
28;"AE1001";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"Antenna_Shield";;;
29;"L1001";"L_0805_2012Metric";1;"27nH";;;
30;"R709";"R_0805_2012Metric";1;"143k";;;
31;"R706";"R_0805_2012Metric";1;"27k4";;;
32;"C705,C1001,C708";"C_0805_2012Metric";3;"1uF";;;
33;"U201";"SO-16_5.3x10.2mm_P1.27mm";1;"PCA8574D";;;
34;"R703";"R_0805_2012Metric";1;"820k";;;
35;"R303,R302";"R_0805_2012Metric";2;"220k";;;
36;"R707";"R_0805_2012Metric";1;"1k87";;;
37;"R710";"R_0805_2012Metric";1;"75k";;;
38;"R717";"R_0805_2012Metric";1;"0R5";;;
39;"D1001";"LED_0805_2012Metric";1;"APT2012LSECK/J4-PRV";;;
40;"C703";"C_0805_2012Metric";1;"4.7uF";;;
41;"R702";"R_0805_2012Metric";1;"82k";;;
42;"D701";"D_SMA";1;"B330A";;;
43;"R401";"R_1206_Current";1;"PE1206FRE470R04L";;;
44;"C1103";"C_0805_2012Metric";1;"10nF";;;
45;"BT301,BT302";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";2;"Battery_Cell";;;
46;"R1004,R1002";"Cu_Conn-R_0805_2012Metric";2;"CU_CONN-R_0805_2012Metric";;;
47;"R218";"R_0805_2012Metric";1;"5k1";;;
48;"TH301,TH302";"Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical";2;"NRBE104J3435B2J";;;
49;"R216";"R_0805_2012Metric";1;"12k";;;
50;"C802";"C_0805_2012Metric";1;"6.8nF";;;
51;"U901";"XDCR_SCD41-D-R2";1;"SCD41";;;
52;"R210";"R_1206_3216Metric";1;"0R";;;
53;"R1103,R1101";"R_0805_2012Metric";2;"100R";;;
54;"U1101";"SOT-23-5";1;"MCP6486UT-E/OT";;;
55;"J504,J503";"Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical";2;"Conn_01x02";;;
56;"U601";"TBS UNIFY PRO32 5G8 nano";1;"TBS_UNIFY_PRO32_5G8_nano";;;
57;"R1102";"R_0805_2012Metric";1;"20k";;;
58;"U1102";"ME2-O2";1;"ME2-02";;;
59;"C801";"C_0805_2012Metric";1;"120nF";;;
60;"U801";"LGA-28_5.2x3.8mm_P0.5mm";1;"BNO055";;;
61;"R1203";"R_0805_2012Metric";1;"15k";;;
62;"SW202";"PCM12SMTR";1;"PCM12SMTR";;;
63;"J502";"Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical";1;"Conn_01x03";;;
64;"U401";"SOIC-8_3.9x4.9mm_P1.27mm";1;"INA219AxD";;;
