Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",-67.000000,0.000000,180.000000,bottom
"C301","0.1uF","C_0805_2012Metric",14.800000,-34.750000,0.000000,top
"C302","1uF","C_0805_2012Metric",17.600000,-37.600000,90.000000,top
"C303","0.1uF","C_0805_2012Metric",14.800000,-49.750000,0.000000,top
"C304","1uF","C_0805_2012Metric",17.600000,-67.600000,90.000000,top
"C305","0.1uF","C_0805_2012Metric",14.800000,-64.750000,0.000000,top
"C306","1uF","C_0805_2012Metric",17.650000,-52.575000,90.000000,top
"C307","1uF","C_0805_2012Metric",14.500000,-29.850000,0.000000,top
"C401","0.1uF","C_0805_2012Metric",16.750000,-12.900000,90.000000,top
"C402","0.1uF","C_0805_2012Metric",10.350000,-12.900000,-90.000000,top
"C501","0.1uF","C_0805_2012Metric",33.500000,-8.750000,180.000000,top
"C502","0.1uF","C_0805_2012Metric",31.750000,-17.500000,180.000000,top
"C503","0.1uF","C_0805_2012Metric",31.750000,-26.000000,180.000000,top
"C504","0.1uF","C_0805_2012Metric",31.750000,-34.500000,180.000000,top
"C505","0.1uF","C_0805_2012Metric",31.750000,-43.000000,180.000000,top
"C506","0.1uF","C_0805_2012Metric",31.750000,-51.500000,180.000000,top
"C507","0.1uF","C_0805_2012Metric",31.750000,-60.000000,180.000000,top
"C508","0.1uF","C_0805_2012Metric",31.750000,-68.500000,180.000000,top
"C601","0.1uF","C_0805_2012Metric",53.500000,-8.750000,180.000000,top
"C602","0.1uF","C_0805_2012Metric",51.750000,-17.500000,180.000000,top
"C603","0.1uF","C_0805_2012Metric",51.750000,-26.000000,180.000000,top
"C604","0.1uF","C_0805_2012Metric",51.750000,-34.500000,180.000000,top
"C605","0.1uF","C_0805_2012Metric",51.750000,-43.000000,180.000000,top
"C606","0.1uF","C_0805_2012Metric",51.750000,-51.500000,180.000000,top
"C607","0.1uF","C_0805_2012Metric",51.750000,-60.000000,180.000000,top
"C608","0.1uF","C_0805_2012Metric",51.750000,-68.500000,180.000000,top
"D501","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-13.000000,0.000000,top
"D502","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-21.500000,0.000000,top
"D503","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-30.000000,0.000000,top
"D504","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-38.500000,0.000000,top
"D505","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-47.000000,0.000000,top
"D506","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-55.500000,0.000000,top
"D507","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-64.000000,0.000000,top
"D508","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",33.500000,-72.500000,0.000000,top
"D601","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-13.000000,0.000000,top
"D602","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-21.500000,0.000000,top
"D603","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-30.000000,0.000000,top
"D604","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-38.500000,0.000000,top
"D605","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-47.000000,0.000000,top
"D606","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-55.500000,0.000000,top
"D607","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-64.000000,0.000000,top
"D608","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.500000,-72.500000,0.000000,top
"R201","10k","R_0805_2012Metric",15.275000,-18.150000,0.000000,top
"R202","10k","R_0805_2012Metric",11.675000,-18.150000,180.000000,top
"R301","10k","R_0805_2012Metric",9.400000,-67.525000,-90.000000,top
"R302","10k","R_0805_2012Metric",9.400000,-52.450000,-90.000000,top
"R303","10k","R_0805_2012Metric",14.800000,-75.250000,180.000000,top
"R304","10k","R_0805_2012Metric",14.800000,-73.200000,180.000000,top
"R305","10k","R_0805_2012Metric",14.975000,-43.200000,180.000000,top
"R306","10k","R_0805_2012Metric",9.400000,-37.550000,-90.000000,top
"REF**","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",0.000000,0.000000,0.000000,top
"U301","AS72651","AMS_LGA-20_4.7x4.5mm_P0.65mm",13.500000,-39.000000,0.000000,top
"U302","AS72652","AMS_LGA-20_4.7x4.5mm_P0.65mm",13.500000,-54.000000,0.000000,top
"U303","AS72653","AMS_LGA-20_4.7x4.5mm_P0.65mm",13.500000,-69.000000,0.000000,top
"U304","AT25SF041B-SSHD-B","SOIC-8_3.9x4.9mm_P1.27mm",13.500000,-25.050000,90.000000,top
"U401","BH1730","WSOF6",15.475000,-15.462500,0.000000,top
