Designator,Mid X,Mid Y,Rotation,Layer
AE1001,39.4716,-33.7234,-90.0,top
BT1001,34.3408,-6.3198,-90.0,top
BT301,11.557,-43.495134,0.0,bottom
BT302,26.198147,-43.495134,0.0,bottom
C1001,32.6898,-16.9116,0.0,bottom
C1002,35.941,-33.3454,90.0,top
C1101,30.5234,0.8248,180.0,bottom
C1102,34.1556,0.8248,0.0,bottom
C1103,27.6532,4.9498,90.0,top
C1201,28.1534,-27.8082,0.0,top
C1202,28.1534,-25.6238,0.0,top
C1203,32.6644,-21.8392,0.0,bottom
C1204,32.6644,-28.1384,0.0,top
C201,28.1612,-23.483,0.0,bottom
C301,28.133353,-34.440466,0.0,bottom
C302,32.659553,-34.440466,0.0,top
C401,2.5654,-34.5798,90.0,bottom
C701,13.7008,-32.3294,0.0,bottom
C702,13.6906,-30.0942,0.0,bottom
C703,13.6906,-27.8844,0.0,bottom
C704,10.988,-35.098,0.0,top
C705,15.1994,-38.3746,0.0,top
C706,15.24,-35.098,0.0,top
C707,10.226,-24.8618,180.0,top
C708,14.1732,-21.9916,0.0,top
C801,23.834,1.465181,-90.0,top
C802,19.3872,-0.8687,-90.0,top
C803,21.47,-0.8687,-90.0,top
C804,20.9892,6.5887,0.0,top
C901,43.4594,-13.0762,0.0,bottom
D1001,42.21775,-11.19,0.0,top
D1002,44.2902,-34.2018,0.0,top
D701,-0.1778,-29.463881,-90.0,top
D702,23.1902,-48.0266,0.0,top
D703,23.1902,-45.766,0.0,top
D704,23.1648,-43.5054,0.0,top
D705,23.1648,-41.2702,0.0,top
D706,12.954,-45.766,0.0,top
J101,6.36,-1.74,180.0,top
J102,30.63,3.33,180.0,top
J103,43.79,-31.23,180.0,top
J104,-4.23,-28.69,0.0,top
J501,-5.6388,-19.745134,-90.0,top
J502,7.048147,-9.190134,90.0,bottom
J503,2.1606,-7.949881,90.0,bottom
J504,-2.5908,-7.979881,90.0,bottom
L1001,38.1254,-29.0528,90.0,top
L701,5.5118,-30.653,90.0,top
Q1001,38.354,-12.3396,0.0,bottom
Q1201,28.1686,-30.80655,0.0,top
Q1202,32.6898,-30.78,0.0,bottom
Q1203,28.1686,-22.6266,0.0,top
Q1204,32.6898,-31.1864,0.0,top
Q1205,37.1602,-28.621,0.0,bottom
Q1206,32.6644,-24.8618,0.0,bottom
Q201,8.2804,-15.54,0.0,top
Q202,9.3218,-20.366,0.0,bottom
Q203,10.3304,-19.1142,0.0,top
Q204,10.2262,-7.1549,90.0,top
Q205,9.3218,-24.049,180.0,bottom
Q206,2.0066,-23.7188,-90.0,top
Q207,11.5672,-39.3167,90.0,top
Q208,5.6873,-39.5532,0.0,top
Q209,12.4968,-1.5446,-90.0,top
Q210,24.6126,-5.5324,90.0,top
Q211,28.4855,-5.5252,90.0,top
Q212,24.05,-34.52,180.0,bottom
Q301,28.1534,-34.4434,180.0,top
Q302,32.6659,-34.4484,0.0,bottom
Q501,1.800859,-11.44524,180.0,top
R1001,34.1884,-13.0762,0.0,bottom
R1002,38.38235,-11.19,180.0,top
R1003,35.941,-29.0528,90.0,top
R1101,30.5488,-5.703,180.0,bottom
R1102,27.6278,-2.6296,-90.0,bottom
R1103,27.6278,0.9772,-90.0,bottom
R1201,28.1178,-32.0246,0.0,bottom
R1202,28.1178,-29.51,0.0,bottom
R1203,28.1432,-19.7056,180.0,top
R1204,40.4114,-28.6972,90.0,bottom
R1205,32.6644,-27.859,0.0,bottom
R1206,32.6644,-19.35,180.0,bottom
R1207,28.1178,-27.1986,180.0,bottom
R1208,24.3078,-29.51,180.0,bottom
R1209,24.3,-31.62,180.0,bottom
R201,7.2012,-11.4799,-90.0,top
R202,14.1658,-19.7746,180.0,top
R203,9.4512,-11.4799,90.0,top
R204,7.1882,-19.604,90.0,top
R205,13.6906,-23.4902,0.0,bottom
R206,16.002,-7.187166,90.0,top
R207,13.6906,-25.6746,0.0,bottom
R208,-0.8128,-23.6934,-90.0,top
R209,13.5128,-7.187166,90.0,top
R210,2.0066,-20.5692,0.0,top
R211,15.113,-37.384,90.0,bottom
R212,17.205053,-37.384,-90.0,bottom
R213,0.3556,-28.0368,0.0,bottom
R214,20.574,-33.9296,180.0,top
R215,8.7376,-39.5703,-90.0,top
R216,5.6619,-36.683,180.0,top
R217,12.4968,1.5542,180.0,top
R218,24.6052,-8.5732,180.0,top
R219,28.448,-8.5732,0.0,top
R220,24.3078,-27.1986,0.0,bottom
R221,-0.8128,-16.7846,90.0,top
R222,1.3792,-16.7846,90.0,top
R301,27.2034,-38.0463,-90.0,bottom
R302,29.2608,-38.0463,-90.0,bottom
R303,31.5468,-38.0463,-90.0,top
R304,33.6042,-38.0463,-90.0,top
R401,12.748147,-37.395134,90.0,bottom
R501,4.9762,-11.473059,-90.0,top
R701,27.1018,-41.2448,0.0,top
R702,7.1882,-23.8204,-90.0,top
R703,10.2635,-21.9916,180.0,top
R704,20.447,-24.8618,90.0,top
R705,8.8373,-45.766,180.0,top
R706,18.161,-24.8618,90.0,top
R707,31.2073,-45.7588,180.0,top
R708,27.1198,-45.7842,180.0,top
R709,27.1272,-48.0266,180.0,top
R710,27.1272,-48.0266,180.0,bottom
R712,13.4112,-24.8618,90.0,top
R713,24.9682,-28.9239,90.0,top
R714,24.9682,-33.1949,-90.0,top
R715,15.7988,-24.8618,90.0,top
R716,20.5486,-28.1892,0.0,top
R717,22.733,-24.8618,-90.0,top
R718,24.9682,-24.8618,90.0,top
R801,23.8086,4.944981,90.0,top
R802,17.4314,6.6395,0.0,top
SW201,19.7538,2.3234,-90.0,bottom
SW202,19.71,-48.91,180.0,bottom
SW203,-5.2044,-12.354881,0.0,top
TH301,7.0358,-42.320134,-90.0,bottom
TH302,33.598147,-42.520134,-90.0,bottom
U1001,39.5732,-19.7056,90.0,top
U1002,40.25,-33.95,90.0,bottom
U1003,36.61,-33.95,90.0,bottom
U1101,20.5486,-13.3556,180.0,bottom
U1102,30.5234,-2.401,90.0,bottom
U201,20.5412,-13.2976,0.0,top
U301,24.279747,-37.718934,90.0,top
U401,7.448147,-36.145134,0.0,bottom
U501,-5.36,-7.67,0.0,top
U601,-0.25,-19.65,0.0,bottom
