Designator,Mid X,Mid Y,Rotation,Layer
AE601,179.1588,-101.5658,-90.0,top
BT201,168.9608,-112.1664,180.0,bottom
BT202,152.1968,-112.1664,180.0,bottom
BT601,174.028,-74.1622,-90.0,top
C201,170.0276,-68.6709,-90.0,top
C301,172.6184,-102.9208,180.0,bottom
C302,164.719,-107.1372,-90.0,bottom
C303,168.3258,-107.1372,-90.0,bottom
C304,168.783,-102.9208,0.0,bottom
C305,145.034,-99.7204,-90.0,bottom
C401,167.588634,-101.919134,-90.0,top
C501,163.5212,-66.377219,-90.0,top
C502,159.0744,-68.7111,-90.0,top
C503,161.1572,-68.7111,-90.0,top
C504,160.6764,-61.2537,0.0,top
C601,172.3898,-83.8962,0.0,bottom
C602,175.6156,-97.4852,90.0,bottom
C701,183.1466,-80.9186,0.0,bottom
C801,170.2106,-67.0176,180.0,bottom
C802,173.8428,-67.0176,0.0,bottom
C803,167.3404,-62.8926,90.0,top
D301,158.3436,-111.506,180.0,bottom
D601,181.90495,-79.0324,0.0,top
D602,183.9774,-102.0442,0.0,top
IC301,170.7388,-98.9838,180.0,bottom
J101,146.0472,-69.5824,180.0,top
J102,170.3172,-64.5124,180.0,top
J103,183.4772,-99.0724,180.0,top
J104,135.4572,-96.5324,0.0,top
J201,159.5628,-111.7774,180.0,top
J901,134.8,-87.587534,-90.0,top
J902,146.735347,-77.032534,90.0,bottom
J903,141.8478,-75.792281,90.0,bottom
J904,137.0964,-75.822281,90.0,bottom
L301,155.2448,-102.5398,90.0,bottom
L601,177.8126,-97.536,-90.0,top
Q201,147.2923,-111.4552,0.0,top
Q202,147.2692,-105.664,0.0,top
Q203,168.275,-108.4072,0.0,top
Q204,174.5094,-111.2418,0.0,top
Q205,149.86,-75.06,0.0,top
Q206,144.9324,-97.3836,90.0,top
Q207,156.26,-68.94,90.0,top
Q208,152.57,-68.92,90.0,top
Q301,164.846,-97.7392,180.0,bottom
Q601,178.0412,-80.182,0.0,bottom
Q901,141.488059,-79.28764,180.0,top
R201,144.1935,-109.5248,-90.0,top
R202,144.1935,-103.6828,-90.0,top
R203,147.2923,-108.6104,0.0,top
R204,147.2692,-102.7684,0.0,top
R205,165.1762,-108.4072,90.0,top
R206,171.3598,-111.2399,-90.0,top
R207,172.2488,-108.397,180.0,top
R208,165.8076,-68.6809,90.0,top
R209,167.905547,-68.6797,-90.0,top
R210,152.908,-75.0316,-90.0,top
R211,147.9804,-99.568,90.0,top
R212,149.86,-77.978,0.0,top
R213,144.9324,-100.4824,180.0,top
R214,172.7708,-95.0976,0.0,bottom
R215,140.0428,-96.52,0.0,bottom
R216,157.18,-75.03,-90.0,top
R217,155.06,-75.03,-90.0,top
R218,136.1364,-79.3007,90.0,top
R219,138.3284,-79.3007,90.0,top
R301,164.6936,-102.0318,90.0,bottom
R401,173.4566,-105.6386,180.0,top
R501,163.4958,-62.897419,90.0,top
R502,157.1186,-61.2029,0.0,top
R601,173.8756,-80.9186,0.0,bottom
R602,178.06955,-79.0324,180.0,top
R603,175.6282,-97.4852,-90.0,top
R801,170.236,-73.5454,180.0,bottom
R802,167.315,-70.472,-90.0,bottom
R803,167.315,-66.8652,-90.0,bottom
R901,144.6634,-79.315459,-90.0,top
SW201,159.441,-65.519,-90.0,bottom
SW202,159.3972,-116.7524,180.0,bottom
U1001,140.1064,-87.4776,0.0,bottom
U201,160.2284,-81.14,0.0,top
U401,171.534934,-100.378334,-90.0,top
U501,159.3942,-64.6185,180.0,top
U601,179.9372,-101.7924,90.0,bottom
U602,176.2972,-101.7924,90.0,bottom
U603,179.2604,-87.548,90.0,top
U701,180.933947,-87.559453,180.0,bottom
U801,160.2358,-81.198,180.0,bottom
U802,170.2106,-70.2434,90.0,bottom
U901,134.3272,-75.5124,0.0,top
