batteryGS;tempGS;humidityGS;pressGS;altGS;timeGS;latGS;longGS;rangeCan;dORa4;dORa0;dORa3;dORa1;dORa2;dORa5;dORa7;dORa10;dORa8;dORa6;dORa9;time;lightIntensity;temperature;pressure;humidity;battery;current;power;co2;lat;long;height_GPS;height;sattelitesNum;roll;pitch;yaw;oxygen;asx0;asx1;asx2;asx3;asx4;asx5;asx6;asx7;asx8;asx9;asx10;asx11;asx12;asx13;asx14;asx15;asx16;asx17;transfer;dORa11;time2;
1.072;17.9;38.2;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143856;0;25.23;98.92;16.97;7.15;33.0;236;504;49.24;16.56;247.51973716783118;0;20;86;-17;16;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;
1.072;17.9;38.8;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143857;0;25.23;98.92;16.97;7.13;51.0;364;504;49.24;16.56;247.51973716783118;0;20;82;-18;15;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;1;
1.070;17.9;39.1;988.7;251.47478222533138;0;0.0;0.0;0.6234010048115097;1;1;1;1;1;0;2;1;1;2;2;270423143858;0;25.22;98.911;17.05;7.15;33.8;242;504;49.24;16.56;248.23149772226327;0;21;82;-17;13;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;2;
1.070;17.9;39.4;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143859;0;25.24;98.91499999999999;17.09;7.16;32.9;262;504;49.24;16.56;247.91515170288667;0;21;84;-20;10;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;3;
1.070;18.0;39.2;988.7;251.47478222533138;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143900;0;25.24;98.91499999999999;17.09;7.15;36.9;262;504;49.24;16.56;247.91515170288667;0;21;83;-22; 7;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;4;
1.070;18.0;39.7;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143901;0;25.23;98.92;17.35;7.15;34.3;246;504;49.24;16.56;247.51973716783118;0;21;84;-17;13;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;5;
1.072;18.0;39.9;988.7;251.47478222533138;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143901;0;25.23;98.92;17.35;7.15;34.3;246;504;49.24;16.56;247.51973716783118;0;21;84;-17;13;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;6;
1.072;18.0;40.0;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;1;1;1;0;2;1;1;2;2;270423143903;0;25.24;98.91499999999999;17.09;7.15;33.1;236;504;49.24;16.56;247.91515170288667;0;21;82;-21;16;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;7;
1.070;18.0;39.0;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143904;0;25.24;98.91499999999999;17.64;7.15;35.7;256;504;49.24;16.56;247.91515170288667;0;21;86;-19;20;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;8;
1.072;18.0;37.6;988.6;252.26603124766228;0;0.0;0.0;0.6234010048115097;1;1;2;1;1;0;2;1;1;2;2;270423143905;0;25.24;98.91499999999999;17.64;7.15;32.7;232;504;49.24;16.56;247.91515170288667;0;21;86;-21;13;20.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;9;
