Designator,Footprint,Quantity,Value,LCSC Part #
AE401,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Antenna_Shield,
BT701,2989,1,Backup battery,
"C201, C206",C_0805_2012Metric,2,10uF,
"C202, C208",C_0805_2012Metric,2,1uF,
C203,CP_Elec_6.3x7.7,1,680uF,
"C204, C205, C207, C504, C601",C_0805_2012Metric,5,0.1uF,
"C301, C302, C303",C_0805_2012Metric,3,100nF,
"C501, C502",CP_EIA-3528-21_Kemet-B,2,TPSB686K010R0600,
C503,C_0805_2012Metric,1,0.47uF,
C505,CP_EIA-7343-31_Kemet-D,1,293D227X9010D2TE3,
D201,D_SOD-123F,1,SBR3U40S1F-7,
"D202, D203",LED_0805_2012Metric,2,APT2012LSECK/J4-PRV,
D204,SOT-143,1,SP0503BAHT,
D501,D_SMA,1,B330A,
IC501,SOIC127P600X175-8N,1,MAX1626ESA+T,
J101,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Male,
"J102, J103, J104",PinHeader_2x02_P2.54mm_Vertical,3,Conn_02x02_Male,
"J105, J106, J107",009155004541006,3,009155004541006,
J201,USB4110GFA,1,USB4110-GF-A,
J601,DS1139-05,1,Micro_SD_Card 823-046,
L501,CDRH125101MC,1,CDRH125NP-220MC,
"Q201, Q203, Q207, Q501",SOT-23,4,SI2305CDS-T1-BE3,
"Q202, Q204, Q205, Q206",SOT-23,4,BC847,
R201,R_0805_2012Metric,1,1k,
R202,R_0805_2012Metric,1,22k1,
"R203, R209, R214, R222",R_0805_2012Metric,4,100k,
"R204, R205, R206, R210, R211, R224, R225, R226",R_0805_2012Metric,8,10k,
R207,R_0805_2012Metric,1,47k5,
R208,R_0805_2012Metric,1,27k,
R212,R_0805_2012Metric,1,47k,
"R213, R502",R_1206_3216Metric,2,0R,
"R215, R216",R_0805_2012Metric,2,750R,
"R217, R218, R219",R_0805_2012Metric,3,5k1,
"R220, R221, R223",R_0805_2012Metric,3,5k,
R301,R_0805_2012Metric,1,4k7,
R501,R_1206_Current,1,PE1206FRE470R04L,
SW201,SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm,1,DS04-254-1-03BK-SMT,
"SW202, SW203",Tlačítko SMD LaskaKit,2,LaskaKit tlačítko,
U201,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,
U202,ESP32-MINI-1,1,ESP32-MINI-1,
U301,TO-92_Inline,1,DS18B20,
U302,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U401,HOPERF_RFM9XW_SMD,1,RFM96W-433S2,
U701,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,PT7C4339,
Y701,ECX-31B,1,ECS-.327-6-34B-C-TR,
