Designator,Mid X,Mid Y,Rotation,Layer
AE401,164.2734,-79.1383,0.0,bottom
BT701,160.1758,-72.1107,-90.0,top
C201,146.8918,-100.9049,-90.0,bottom
C202,149.2396,-105.9455,-90.0,bottom
C203,139.7858,-66.2859,-90.0,top
C204,154.6244,-97.1977,-90.0,bottom
C205,126.024,-107.9419,0.0,top
C206,139.91,-79.67,90.0,top
C207,139.91,-79.67,90.0,bottom
C208,139.935,-85.97,90.0,top
C301,152.1858,-63.1807,90.0,top
C302,149.16,-63.17,90.0,top
C303,137.61,-85.97,90.0,bottom
C501,119.028,-92.7786,90.0,top
C502,122.4824,-92.7802,90.0,top
C503,121.629,-89.2107,180.0,top
C504,118.1644,-89.2107,0.0,top
C505,132.731,-71.9521,-90.0,top
C601,128.7164,-105.9099,90.0,bottom
D201,126.291,-97.9271,-90.0,top
D202,151.5764,-105.9243,-90.0,top
D203,154.61,-105.9243,-90.0,top
D204,130.041,-97.3171,90.0,top
D501,129.311,-86.5721,-90.0,top
IC501,119.585,-85.2991,0.0,top
J101,125.516,-64.7619,0.0,bottom
J102,149.791,-59.6921,0.0,bottom
J103,162.9556,-94.2513,0.0,bottom
J104,114.9292,-91.7063,180.0,bottom
J105,112.535,-82.78,-90.0,top
J106,165.34,-82.785,90.0,top
J107,138.91,-57.245,180.0,top
J201,138.9526,-109.6214,0.0,top
J601,137.6572,-102.5778,180.0,bottom
L501,122.671,-74.7521,180.0,top
Q201,126.341,-93.6021,90.0,top
Q202,125.06,-101.22,0.0,bottom
Q203,126.024,-102.6219,90.0,top
Q204,136.91,-74.92,0.0,bottom
Q205,137.2508,-97.2739,180.0,top
Q206,141.7285,-97.2739,0.0,top
Q207,130.4285,-93.3321,180.0,top
Q501,125.4542,-84.2577,0.0,top
R201,146.9028,-105.9607,90.0,bottom
R202,140.5782,-101.2363,-90.0,top
R203,122.468,-96.52,-90.0,bottom
R204,146.852,-58.7402,-90.0,top
R205,144.76,-58.7421,-90.0,bottom
R206,125.0588,-96.52,-90.0,bottom
R207,143.2658,-101.2363,-90.0,top
R208,136.438,-93.2861,90.0,top
R209,126.0494,-105.7321,180.0,top
R210,126.3796,-105.9099,90.0,bottom
R211,154.635,-97.22,90.0,top
R212,139.0034,-93.3115,90.0,top
R213,133.0234,-82.0479,90.0,top
R214,119.81,-96.52,-90.0,bottom
R215,151.5764,-105.922,-90.0,bottom
R216,154.61,-105.922,-90.0,bottom
R217,114.01,-70.32,90.0,top
R218,146.9028,-109.7961,-90.0,bottom
R219,137.708,-101.2617,90.0,top
R220,136.86,-77.87,180.0,bottom
R221,146.9028,-97.1723,-90.0,bottom
R222,133.9488,-93.2607,-90.0,top
R223,145.8614,-97.2485,90.0,top
R224,133.9488,-97.2739,-90.0,top
R225,139.935,-85.995,-90.0,bottom
R226,139.91,-89.795,-90.0,bottom
R301,137.61,-89.795,-90.0,bottom
R501,125.632,-88.6265,90.0,top
R502,132.736,-64.5896,90.0,top
SW201,138.9526,-61.3583,90.0,bottom
SW202,147.5886,-107.3021,90.0,top
SW203,130.1388,-107.3021,90.0,top
U201,150.291,-99.2121,0.0,top
U202,148.091,-85.5521,0.0,top
U301,135.151,-88.7221,90.0,top
U302,145.801,-63.2807,90.0,top
U401,151.8304,-86.1233,0.0,bottom
U701,151.8058,-68.4521,0.0,top
Y701,146.3858,-68.3807,90.0,top
