Designator,Footprint,Quantity,Value,LCSC Part #
AE1001,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Antenna_Shield,
BT1001,2989,1,Backup battery,
"BT301, BT302",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Battery_Cell,
"C1001, C705, C708",C_0805_2012Metric,3,1uF,
"C1002, C1101, C803, C804, C901",C_0805_2012Metric,5,100nF,
"C1102, C1202, C401",C_0805_2012Metric,3,10uF,
C1103,C_0805_2012Metric,1,10nF,
"C1203, C1204, C301, C302, C702, C706, C707",C_0805_2012Metric,7,22uF,
C701,C_0805_2012Metric,1,0.1uF,
C703,C_0805_2012Metric,1,4.7uF,
C704,C_0805_2012Metric,1,C,
C801,C_0805_2012Metric,1,120nF,
C802,C_0805_2012Metric,1,6n8,
D1001,LED_0805_2012Metric,1,APT2012LSECK/J4-PRV,
D701,D_SMA,1,B330A,
"D702, D703, D704, D705",LED_0805_2012Metric,4,APT2012LZGCK,
D706,LED_0805_2012Metric,1,APT2012LSECK/J3-PRV,
IC701,MP2639AGRZ,1,MP2639AGR-Z,
J101,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Female,
"J102, J103, J104",PinSocket_2x02_P2.54mm_Vertical,3,Conn_02x02_Female,
J501,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02,
J502,Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical,1,Conn_01x03,
"J503, J504",Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,2,Conn_01x02,
L1001,L_0805_2012Metric,1,27nH,
L701,BMRA000606302R2MA1,1,BMRA000606302R2MA1,
"Q1001, Q1203, Q1206, Q201, Q202, Q203, Q204, Q205, Q206, Q209, Q210, Q301, Q302, Q501",SOT-23,14,BC847,
"Q1201, Q1202, Q1204, Q1205, Q208",SOT-23,5,BC857,
"Q207, Q211, Q212",SOT-23,3,SI2305CDS-T1-BE3,
R1001,R_0805_2012Metric,1,12R,
"R1002, R711",R_0805_2012Metric,2,750R,
"R1003, R203, R204, R206, R214, R501",R_0805_2012Metric,6,5k,
"R1101, R1103",R_0805_2012Metric,2,100R,
R1102,R_0805_2012Metric,1,20k,
"R1201, R201, R202, R205, R208, R209, R211, R220, R222, R301, R304, R701, R709, R801, R802",R_0805_2012Metric,15,10k,
"R1202, R1204, R1205, R1206, R1207, R1208, R1209, R207, R212, R213, R215, R217, R219, R221",R_0805_2012Metric,14,100k,
R1203,R_0805_2012Metric,1,15k,
R210,R_1206_3216Metric,1,0R,
R216,R_0805_2012Metric,1,12k,
R218,R_0805_2012Metric,1,5k1,
"R302, R303",R_0805_2012Metric,2,220k,
R401,R_1206_Current,1,PE1206FRE470R04L,
R702,R_0805_2012Metric,1,82k,
R703,R_0805_2012Metric,1,820k,
"R704, R705",R_0805_2012Metric,2,R,
R706,R_0805_2012Metric,1,27k4,
R707,R_0805_2012Metric,1,143k,
R708,R_0805_2012Metric,1,75k,
"R710, R712, R713, R714",R_0805_2012Metric,4,330R,
R715,R_0805_2012Metric,1,0R5,
RT701,R_0805_2012Metric,1,1k87,
RT702,R_0805_2012Metric,1,5k11,
"SW1001, SW1002",Cu_Conn,2,CU_CONN,
SW201,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,1,DS04-254-1-04BK-SMT,
SW202,PCM12SMTR,1,PCM12SMTR,
SW203,Tlačítko SMD LaskaKit,1,LaskaKit tlačítko,
"TH301, TH302",Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,2,NRBE104J3435B2J,
U1001,ublox_NEO,1,NEO-M9N,
U1101,SOT-23-5,1,OPA333xxDBV,
U1102,ME2-O2,1,ME2-02,
U201,SO-16_5.3x10.2mm_P1.27mm,1,PCA8574D,
"U301, U701, U702",SOT-23-6,3,TS5A3159DBV,
U401,SOIC-8_3.9x4.9mm_P1.27mm,1,INA219AxD,
U501,SOT65P210X110-6N,1,AD5246,
U601,TBS UNIFY PRO32 5G8 nano,1,TBS_UNIFY_PRO32_5G8_nano,
U801,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U901,XDCR_SCD41-D-R2,1,SCD41,
