Designator,Mid X,Mid Y,Rotation,Layer
AE1001,163.2204,-103.756,-90.0,top
BT1001,158.0896,-76.3524,-90.0,top
BT301,135.3058,-113.527734,0.0,bottom
BT302,149.946947,-113.527734,0.0,bottom
C1001,156.4386,-86.9442,0.0,bottom
C1002,159.6898,-103.378,90.0,top
C1101,153.44885,-71.043,90.0,bottom
C1102,155.58245,-71.043,90.0,bottom
C1103,155.6004,-74.6506,-90.0,bottom
C1201,156.4132,-91.8718,0.0,bottom
C1202,156.4132,-98.171,0.0,top
C1203,151.9022,-97.8408,0.0,top
C1204,151.9022,-95.6564,0.0,top
C301,151.882153,-104.473066,0.0,bottom
C302,156.408353,-104.473066,0.0,top
C401,126.3142,-104.6124,90.0,bottom
C701,134.7368,-105.1306,0.0,top
C702,133.9748,-94.8944,180.0,top
C703,137.922,-92.0242,0.0,top
C704,138.9482,-108.4072,0.0,top
C705,138.9888,-105.1306,0.0,top
C706,137.4496,-102.362,0.0,bottom
C707,137.4394,-100.1268,0.0,bottom
C708,137.4394,-97.917,0.0,bottom
C801,139.495,-68.648919,-90.0,bottom
C802,143.9418,-70.9828,-90.0,bottom
C803,141.859,-70.9828,-90.0,bottom
C804,142.3398,-63.5254,180.0,bottom
C901,167.2082,-83.1088,0.0,bottom
D1001,165.96655,-81.2226,0.0,top
D701,123.571,-99.496481,-90.0,top
D702,146.939,-118.0592,0.0,top
D703,146.939,-115.7986,0.0,top
D704,146.9136,-113.538,0.0,top
D705,146.9136,-111.3028,0.0,top
D706,136.7028,-115.7986,0.0,top
IC701,137.3662,-100.646081,0.0,top
J101,130.0788,-71.8026,180.0,top
J102,154.3488,-66.7326,180.0,top
J103,167.5138,-101.2926,180.0,top
J104,119.4888,-98.7476,0.0,top
J501,118.11,-89.777734,-90.0,top
J502,130.796947,-79.222734,90.0,bottom
J503,125.9094,-77.982481,90.0,bottom
J504,121.158,-78.012481,90.0,bottom
L1001,161.8742,-99.0854,90.0,top
L701,129.2606,-100.6856,90.0,top
Q1001,162.1028,-82.3722,0.0,bottom
Q1201,156.4386,-101.219,0.0,top
Q1202,156.4132,-94.8944,0.0,bottom
Q1203,160.909,-98.6536,0.0,bottom
Q1204,151.9174,-100.83915,0.0,top
Q1205,151.9174,-92.6592,0.0,top
Q1206,156.4386,-100.8126,0.0,bottom
Q201,152.2343,-75.4372,90.0,top
Q202,148.3614,-75.565,90.0,top
Q203,136.2456,-71.5772,-90.0,bottom
Q204,147.7988,-104.5526,180.0,bottom
Q205,133.0706,-90.3986,0.0,bottom
Q206,135.316,-109.3493,90.0,top
Q207,133.0706,-94.0816,180.0,bottom
Q208,129.4361,-109.5858,0.0,top
Q209,134.5184,-89.1286,0.0,top
