Designator,Mid X,Mid Y,Rotation,Layer
C301,31.75,-9.0,180.0,top
C302,31.75,-17.5,180.0,top
C303,31.75,-26.0,180.0,top
C304,31.75,-34.5,180.0,top
C305,31.75,-43.0,180.0,top
C306,31.75,-51.5,180.0,top
C307,31.75,-60.0,180.0,top
C308,31.75,-68.5,180.0,top
C401,51.75,-9.0,180.0,top
C402,51.75,-17.5,180.0,top
C403,51.75,-26.0,180.0,top
C404,51.75,-34.5,180.0,top
C405,51.75,-43.0,180.0,top
C406,51.75,-51.5,180.0,top
C407,51.75,-60.0,180.0,top
C408,51.75,-68.5,180.0,top
C501,14.8,-34.75,0.0,top
C502,17.6,-37.6,90.0,top
C503,14.8,-49.75,0.0,top
C504,17.6,-67.6,90.0,top
C505,14.5,-29.85,0.0,top
C506,14.8,-64.75,0.0,top
C507,17.65,-52.575,90.0,top
C601,16.75,-12.9,90.0,top
C602,10.35,-12.9,-90.0,top
D301,33.5,-13.0,0.0,top
D302,33.5,-21.5,0.0,top
D303,33.5,-30.0,0.0,top
D304,33.5,-38.5,0.0,top
D305,33.5,-47.0,0.0,top
D306,33.5,-55.5,0.0,top
D307,33.5,-64.0,0.0,top
D308,33.5,-72.5,0.0,top
D401,53.5,-13.0,0.0,top
D402,53.5,-21.5,0.0,top
D403,53.5,-30.0,0.0,top
D404,53.5,-38.5,0.0,top
D405,53.5,-47.0,0.0,top
D406,53.5,-55.5,0.0,top
D407,53.5,-64.0,0.0,top
D408,53.5,-72.5,0.0,top
IC501,13.5,-25.05,90.0,top
R201,15.275,-18.15,0.0,top
R202,11.675,-18.15,180.0,top
R501,9.4,-67.525,-90.0,top
R502,9.4,-52.45,-90.0,top
R503,14.8,-75.25,180.0,top
R504,14.8,-73.2,180.0,top
R506,14.975,-43.2,180.0,top
R507,9.4,-37.55,-90.0,top
U501,13.5,-39.0,0.0,top
U502,13.5,-54.0,0.0,top
U503,13.5,-69.0,0.0,top
U601,15.475,-15.4625,0.0,top
